id,score,survey_date
24144248776,3,04/23/2019 12:00:00 AM
24144252836,3,04/16/2019 12:00:00 AM
24144293146,3,04/16/2019 12:00:00 AM
24144662644,2,04-04-2019 00:00
24144975572,2,04/24/2019 12:00:00 AM
24145402038,1,04/14/2019 12:00:00 AM
24146326526,2,04-03-2019 00:00
24146442338,2,04-10-2019 00:00
24146443002,1,04/15/2019 12:00:00 AM
24146457492,3,04/24/2019 12:00:00 AM
24146641776,1,04/18/2019 12:00:00 AM
24146862992,3,04-01-2019 00:00
24147013248,3,04-04-2019 00:00
24147143904,2,04/16/2019 12:00:00 AM
24148324134,2,04-05-2019 00:00
24148830726,2,04/22/2019 12:00:00 AM
24149019420,3,04/23/2019 12:00:00 AM
24149207550,3,04-01-2019 00:00
24149224320,1,04/17/2019 12:00:00 AM
24149880104,3,04-02-2019 00:00
24149936674,2,04/16/2019 12:00:00 AM
24151038920,2,04/22/2019 12:00:00 AM
24151148138,2,04-10-2019 00:00
24151846002,2,04/25/2019 12:00:00 AM
24151854754,3,04-11-2019 00:00
24151854930,3,04/23/2019 12:00:00 AM
24151961596,1,04/16/2019 12:00:00 AM
24151970794,3,04-11-2019 00:00
24152316972,2,04/15/2019 12:00:00 AM
24152989510,2,04/14/2019 12:00:00 AM
24153206934,2,04-04-2019 00:00
24153790132,3,04-02-2019 00:00
24153992044,2,04/23/2019 12:00:00 AM
24154246872,1,04/23/2019 12:00:00 AM
24154350272,3,04-01-2019 00:00
24155096158,3,04-01-2019 00:00
24155099000,3,04/15/2019 12:00:00 AM
24155099164,1,04/22/2019 12:00:00 AM
24156243634,3,04/17/2019 12:00:00 AM
24156758390,2,04/17/2019 12:00:00 AM
24157807090,2,04/16/2019 12:00:00 AM
24157812072,3,04/24/2019 12:00:00 AM
24158151150,3,04/22/2019 12:00:00 AM
24158782914,2,04-08-2019 00:00
24158888006,3,04-12-2019 00:00
24158983780,2,04/16/2019 12:00:00 AM
24159045544,3,04-10-2019 00:00
24159499928,1,04-02-2019 00:00
24344189498,1,04/16/2019 12:00:00 AM
24344320070,2,04/24/2019 12:00:00 AM
24346332776,1,04/17/2019 12:00:00 AM
24346333246,3,04/23/2019 12:00:00 AM
24348801932,1,04/22/2019 12:00:00 AM
24348810452,3,04/19/2019 12:00:00 AM
24349827754,2,04-03-2019 00:00
24351548102,3,04-03-2019 00:00
24355597588,3,04-12-2019 00:00
24811609674,3,04/22/2019 12:00:00 AM
25044193264,3,04/20/2019 12:00:00 AM
25044275708,2,04-10-2019 00:00
25044358868,2,04/17/2019 12:00:00 AM
25044586884,1,04-05-2019 00:00
25044595566,2,04/17/2019 12:00:00 AM
25044903754,3,04/16/2019 12:00:00 AM
25045793726,3,04/25/2019 12:00:00 AM
25046673400,2,04-01-2019 00:00
25046852468,3,04/18/2019 12:00:00 AM
25047243314,3,04/26/2019 12:00:00 AM
25047655714,3,04-08-2019 00:00
25048051172,3,04-01-2019 00:00
25048252556,1,04-10-2019 00:00
25049494946,2,04-04-2019 00:00
25050122474,3,04/19/2019 12:00:00 AM
25050536570,2,04/16/2019 12:00:00 AM
25050630218,1,04-02-2019 00:00
25050634074,2,04-03-2019 00:00
25050638546,3,04/19/2019 12:00:00 AM
25051207588,3,04/15/2019 12:00:00 AM
25051439068,2,04-10-2019 00:00
25051573970,3,04-03-2019 00:00
25052454112,3,04-03-2019 00:00
25052814872,3,04-01-2019 00:00
25052851778,3,04/26/2019 12:00:00 AM
25053415112,3,04-12-2019 00:00
25053569774,2,04-08-2019 00:00
25054282024,2,04-02-2019 00:00
25054298742,2,04/24/2019 12:00:00 AM
25054353078,2,04-09-2019 00:00
25055934104,3,04/21/2019 12:00:00 AM
25055934548,3,04-10-2019 00:00
25055995458,3,04-03-2019 00:00
25056276202,1,04-08-2019 00:00
25056282416,1,04/16/2019 12:00:00 AM
25056294250,3,04-01-2019 00:00
25056296724,3,04/16/2019 12:00:00 AM
25058078274,3,04-03-2019 00:00
25058326930,3,04/22/2019 12:00:00 AM
25058819006,3,04/18/2019 12:00:00 AM
25058890528,3,04-12-2019 00:00
25058916942,3,04-03-2019 00:00
25245944112,2,04/19/2019 12:00:00 AM
25247670496,3,04/19/2019 12:00:00 AM
25247680480,2,04/19/2019 12:00:00 AM
25249403614,2,04/16/2019 12:00:00 AM
25249405530,3,04-09-2019 00:00
25249405768,3,04-02-2019 00:00
25249819008,3,04-01-2019 00:00
25254389234,3,04/17/2019 12:00:00 AM
25256452742,3,04-11-2019 00:00
25258077388,3,04-09-2019 00:00
25258983882,2,04-04-2019 00:00
25524743960,3,04-10-2019 00:00
25527798394,3,04-02-2019 00:00
25532402988,3,04-10-2019 00:00
25532409134,3,04-09-2019 00:00
25533849114,1,04-12-2019 00:00
25534663508,2,04-01-2019 00:00
25535360966,2,04-05-2019 00:00
26034157034,3,04-09-2019 00:00
26084257816,3,04-08-2019 00:00
26084448598,3,04-11-2019 00:00
26084565556,3,04/13/2019 12:00:00 AM
26085152146,3,04/18/2019 12:00:00 AM
26085529362,3,04/17/2019 12:00:00 AM
26087197704,1,04/13/2019 12:00:00 AM
26087534314,3,04-10-2019 00:00
26091465878,3,04-08-2019 00:00
26092249730,3,04/16/2019 12:00:00 AM
26093391666,2,04/25/2019 12:00:00 AM
26093425098,2,04/22/2019 12:00:00 AM
26093427198,3,04/13/2019 12:00:00 AM
26093428056,3,04-09-2019 00:00
26093433324,3,04-02-2019 00:00
26093531584,1,04/23/2019 12:00:00 AM
26093978434,2,04/15/2019 12:00:00 AM
26095806588,2,04-10-2019 00:00
26096441930,1,04-02-2019 00:00
26097033162,1,04-02-2019 00:00
26097033500,3,04-02-2019 00:00
26098404794,3,04-05-2019 00:00
26098408222,3,04-02-2019 00:00
26098418766,1,04/16/2019 12:00:00 AM
26164663910,2,04-01-2019 00:00
26166400970,3,04/19/2019 12:00:00 AM
26167076248,3,04-12-2019 00:00
26167603302,2,04-09-2019 00:00
26167672568,3,04/24/2019 12:00:00 AM
26170605270,2,04-01-2019 00:00
26170781040,3,04-10-2019 00:00
26170784988,3,04/25/2019 12:00:00 AM
26170785712,3,04-04-2019 00:00
26171003092,3,04/18/2019 12:00:00 AM
26184388178,3,04-02-2019 00:00
26184436730,3,04/19/2019 12:00:00 AM
26184496648,3,04-01-2019 00:00
26184497950,3,04-03-2019 00:00
26184637774,3,04/18/2019 12:00:00 AM
26185023548,3,04/19/2019 12:00:00 AM
26185037190,3,04/24/2019 12:00:00 AM
26185079710,3,04-04-2019 00:00
26185100314,3,04/17/2019 12:00:00 AM
26185116750,3,04-10-2019 00:00
26186068584,3,04-11-2019 00:00
26186626076,3,04-03-2019 00:00
26186626376,3,04-01-2019 00:00
26186674130,3,04-10-2019 00:00
26186744722,1,04/23/2019 12:00:00 AM
26186747456,3,04/15/2019 12:00:00 AM
26186751000,3,04-10-2019 00:00
26186751716,3,04/17/2019 12:00:00 AM
26186753806,2,04-09-2019 00:00
26186775002,3,04-04-2019 00:00
26187221478,2,04/15/2019 12:00:00 AM
26187462454,3,04/30/2019 12:00:00 AM
26192706370,2,04-01-2019 00:00
